Date;Company;Adress;Province;Fuel;Prize
02.01.2022;PKN ORLEN; Gronostajowa 1, Gdańsk;pomorskie;95;5,75
02.01.2022;PKN ORLEN; Brzeska 42, Bochnia;małopolskie;95;5,53
02.01.2022;PKN ORLEN; Słupska, Miastko;pomorskie;95;5,99
02.01.2022;PKN ORLEN; Wojska Polskiego 17, Świętochłowice;śląskie;95;5,75
02.01.2022;PKN ORLEN; Rawicka 2 (w pobliżu DK94), Wrocław;dolnośląskie;95;5,75
02.01.2022;PKN ORLEN; Wojska Polskiego 17, Świętochłowice;śląskie;98;5,99
02.01.2022;PKN ORLEN; Poznańska 40, Krobia;wielkopolskie;98;5,99
02.01.2022;PKN ORLEN; Tarnogórska 3, Tworóg;śląskie;98;6,02
02.01.2022;PKN ORLEN; Adama Mickiewicza, Starogard Gdański;pomorskie;ON;5,79
02.01.2022;PKN ORLEN; Muchoborska 9, Wrocław;dolnośląskie;ON;5,79
02.01.2022;PKN ORLEN; Żółkiewskiego 12, Radom;mazowieckie;ON;5,79
02.01.2022;PKN ORLEN; Tadeusza Kościuszki , Gniew;pomorskie;ON;5,71
02.01.2022;PKN ORLEN; Brzeska 16, Niepołomice;małopolskie;ON;5,61
02.01.2022;PKN ORLEN; Wojska Polskiego 17, Świętochłowice;śląskie;ON+;5,99
02.01.2022;PKN ORLEN; Poznańska 40, Krobia;wielkopolskie;ON+;5,99
02.01.2022;PKN ORLEN; Tarnogórska 3, Tworóg;śląskie;ON+;6,09
02.01.2022;PKN ORLEN; Tadeusza Kościuszki 35, Żory;śląskie;ON+;5,89
02.01.2022;PKN ORLEN; Wrocławska, Września;wielkopolskie;LPG;3,18
02.01.2022;PKN ORLEN; Brzeska 42, Bochnia;małopolskie;LPG;3,08
02.01.2022;PKN ORLEN; Wojska Polskiego 17, Świętochłowice;śląskie;LPG;3,17
02.01.2022;PKN ORLEN; Bartkowa 294, Gródek nad Dunajcem;małopolskie;LPG;3,21
02.01.2022;PKN ORLEN; Lubelska 47, Puławy;lubelskie;LPG;3,22
02.01.2022;Shell; Żdżary 17H, Goleniów;zachodniopomorskie;100;5,85
02.01.2022;Shell; Śląska 10, Świętochłowice;śląskie;95;5,75
02.01.2022;Shell; Śląska 10, Świętochłowice;śląskie;ON;5,79
02.01.2022;Shell; Jana Kasprowicza 6/8, Zgierz;łódzkie;LPG;3,44
02.01.2022;Shell; Warszawska 2, Kałuszyn;mazowieckie;LPG;3,28
02.01.2022;BP; Wojska Polskiego 119, Bełchatów;łódzkie;95;5,63
02.01.2022;BP; Kocmyrzowska 43, Kraków;małopolskie;95;5,77
02.01.2022;BP; Kasprowicza 1, Pruszcz Gdański;pomorskie;95;5,79
02.01.2022;BP; Gdańska 20, Zabrze;śląskie;ON;5,89
02.01.2022;BP; Henryka Sienkiewicza 14, Mielec;podkarpackie;ON;5,79
02.01.2022;BP; DK7 (Krakowska 24), Mogilany;małopolskie;ON;5,89
02.01.2022;BP; Okrzei 89, Włocławek;kujawsko-pomorskie;LPG;3,24
02.01.2022;BP; Na Czekaj 13, Bibice;małopolskie;LPG;3,38
02.01.2022;Circle K (Statoil); Aleja Matki Bożej Fatimskiej 103, Tarnów;małopolskie;LPG;3,11
02.01.2022;Circle K (Statoil); Jana Pawła II 56, Białystok;podlaskie;95;5,76
02.01.2022;Circle K (Statoil); Katowicka 1, Żory;śląskie;95;5,51
02.01.2022;Circle K (Statoil); Aleja Rodowicza 6, Warszawa;mazowieckie;ON;5,68
02.01.2022;Circle K (Statoil); Cieśle 50, Oleśnica;dolnośląskie;ON;5,64
03.01.2022;PKN ORLEN; Tadeusza Kościuszki 56, Kutno;łódzkie;95;5,73
03.01.2022;PKN ORLEN; Lwowska 140, Nowy Sącz;małopolskie;95;5,75
03.01.2022;PKN ORLEN; Podłopień 303, Tymbark;małopolskie;95;5,70
03.01.2022;PKN ORLEN; Gdańska 66, Chojnice;pomorskie;95;5,75
03.01.2022;PKN ORLEN; DW786 (Aleja Jerzego Szajnowicza-Iwanowa 22), Kielce;świętokrzyskie;95;5,73
03.01.2022;PKN ORLEN; Ślężna 129A, Wrocław;dolnośląskie;98;5,99
03.01.2022;PKN ORLEN; Gdańska 66, Chojnice;pomorskie;98;5,99
03.01.2022;PKN ORLEN; DW786 (Aleja Jerzego Szajnowicza-Iwanowa 22), Kielce;świętokrzyskie;98;5,99
03.01.2022;PKN ORLEN; 1 Maja 3A, Szklarska Poręba;dolnośląskie;98;5,99
03.01.2022;PKN ORLEN; Rzeszowska , Dębica;podkarpackie;98;5,94
03.01.2022;PKN ORLEN; Gdańska 66, Chojnice;pomorskie;ON;5,79
03.01.2022;PKN ORLEN; Kościelna, Poznań;wielkopolskie;ON;5,77
03.01.2022;PKN ORLEN; Rzeszowska , Dębica;podkarpackie;ON;5,64
03.01.2022;PKN ORLEN; Kolberga 2 , Opoczno;łódzkie;ON;5,79
03.01.2022;PKN ORLEN; 1 Maja 3A, Szklarska Poręba;dolnośląskie;ON;5,79
03.01.2022;PKN ORLEN; Gdańska 66, Chojnice;pomorskie;ON+;5,99
03.01.2022;PKN ORLEN; Kościelna, Poznań;wielkopolskie;ON+;5,99
03.01.2022;PKN ORLEN; Rzeszowska , Dębica;podkarpackie;ON+;5,94
03.01.2022;PKN ORLEN; Zawadzka 40, Łomża;podlaskie;ON+;5,99
03.01.2022;PKN ORLEN; DW786 (Aleja Jerzego Szajnowicza-Iwanowa 22), Kielce;świętokrzyskie;ON+;5,97
03.01.2022;PKN ORLEN; Józefa Wybickiego 3A, Kraków;małopolskie;LPG;3,02
03.01.2022;PKN ORLEN; Sandomierska, Kielce;świętokrzyskie;LPG;3,13
03.01.2022;PKN ORLEN; Powstańców Śląskich 1a, Oświęcim;małopolskie;LPG;3,08
03.01.2022;PKN ORLEN; Gdańska 66, Chojnice;pomorskie;LPG;3,21
03.01.2022;PKN ORLEN; DW786 (Aleja Jerzego Szajnowicza-Iwanowa 22), Kielce;świętokrzyskie;LPG;3,23
03.01.2022;Shell; Grunwaldzka 66, Kielce;świętokrzyskie;98;6,25
03.01.2022;Shell; Aleja Tysiąclecia Państwa Polskiego 72, Białystok;podlaskie;ON+;5,77
03.01.2022;Shell; Ks. Piotra Ściegiennego 58, Katowice;śląskie;100;5,74
03.01.2022;Shell; Pułtuska 65, Ciechanów;mazowieckie;100;5,54
03.01.2022;Shell; Żyrardowska 47, Sochaczew;mazowieckie;ON;5,85
03.01.2022;Shell; Lechicka 2, Poznań;wielkopolskie;LPG;3,09
03.01.2022;BP; Jarosława Dąbrowskiego 18, Gliwice;śląskie;95;5,75
03.01.2022;BP; Człuchowska , Chojnice;pomorskie;95;5,75
03.01.2022;BP; Fieldorfa-Nila 41A, Warszawa;mazowieckie;95;5,75
03.01.2022;BP; Krakowska 150, Skarżysko-Kamienna;świętokrzyskie;95;5,67
03.01.2022;BP; Bulwarowa 1, Kraków;małopolskie;95;6,05
03.01.2022;BP; Płochocińska 93, Warszawa;mazowieckie;95+;5,73
03.01.2022;BP; Modlińska 195, Warszawa;mazowieckie;95+;5,74
03.01.2022;BP; Człuchowska , Chojnice;pomorskie;98;6,11
03.01.2022;BP; Człuchowska , Chojnice;pomorskie;ON;5,79
03.01.2022;BP; Lwowska 120, Tarnów;małopolskie;ON;5,78
03.01.2022;BP; Brzeska 14, Bochnia;małopolskie;ON;5,62
03.01.2022;BP; Człuchowska , Chojnice;pomorskie;ON+;6,09
03.01.2022;BP; Człuchowska , Chojnice;pomorskie;LPG;3,24
03.01.2022;Circle K (Statoil); Rzgowska 211, Łódź;łódzkie;LPG;3,08
03.01.2022;Circle K (Statoil); Karkonoska 52, Wrocław;dolnośląskie;LPG;3,11
03.01.2022;Circle K (Statoil); Aleje Jerozolimskie 228, Warszawa;mazowieckie;LPG;3,19
04.01.2022;PKN ORLEN; Sobieskiego 16, Legionowo;mazowieckie;95;5,75
04.01.2022;PKN ORLEN; Zgorzelecka 24, Bolesławiec;dolnośląskie;95;5,75
04.01.2022;PKN ORLEN; Cieszkowskiego 13B, Bolesławiec;dolnośląskie;95;5,75
04.01.2022;PKN ORLEN; Brzeska 16, Niepołomice;małopolskie;95;5,55
04.01.2022;PKN ORLEN; Ignacego Mościckiego 166 , Tarnów;małopolskie;95;5,67
04.01.2022;PKN ORLEN; Zgorzelecka 24, Bolesławiec;dolnośląskie;98;5,99
04.01.2022;PKN ORLEN; Cieszkowskiego 13B, Bolesławiec;dolnośląskie;98;5,99
